date,low,high,airqulity,result
20230521,16,28,2,1
20230528,13,29,2,1
20230611,22,29,0,1
20230706,24,22,2,1
20230712,20,26,0,1
20230717,17,20,0,1
20230724,22,23,2,1
20230727,14,23,0,1
20230729,16,24,2,1
20230831,19,26,1,1
20230906,12,26,0,1
20230918,16,23,1,1
20231010,20,26,2,1
20231017,20,22,1,1
20231103,17,25,1,1
20230501,14,21,2,0
20230502,13,29,1,0
20230503,17,28,1,0
20230504,17,24,2,0
20230505,12,25,1,0
20230506,15,23,2,0
20230507,14,29,1,0
20230508,11,26,2,0
20230509,17,28,2,0
20230510,21,26,1,0
20230511,23,20,1,0
20230512,15,20,1,0
20230513,11,28,0,0
20230514,21,28,0,0
20230515,14,23,0,0
20230516,10,28,2,0
20230517,21,22,1,0
20230518,19,26,2,0
20230519,15,25,0,0
20230520,22,27,1,0
20230522,21,28,2,0
20230523,18,24,1,0
20230524,10,20,2,0
20230525,20,22,1,0
20230526,20,29,0,0
20230527,24,27,0,0
20230529,19,25,1,0
20230530,21,27,2,0
20230531,21,28,0,0
20230601,24,23,0,0
20230602,23,20,0,0
20230603,23,20,1,0
20230604,24,29,1,0
20230605,23,23,2,0
20230606,12,26,2,0
20230607,21,21,2,0
20230608,16,22,1,0
20230609,13,20,1,0
20230610,18,24,2,0
20230612,12,20,2,0
20230613,14,27,1,0
20230614,12,20,2,0
20230615,16,20,0,0
20230616,14,21,1,0
20230617,18,21,2,0
20230618,16,25,1,0
20230619,11,26,0,0
20230620,13,24,1,0
20230621,18,20,1,0
20230622,21,20,1,0
20230623,23,22,1,0
20230624,11,21,0,0
20230625,19,24,1,0
20230626,18,29,1,0
20230627,19,25,2,0
20230628,14,26,1,0
20230629,11,23,2,0
20230630,13,26,0,0
20230701,21,27,0,0
20230702,24,20,0,0
20230703,21,25,0,0
20230704,16,27,2,0
20230705,21,24,1,0
20230707,22,23,0,0
20230708,17,21,1,0
20230709,24,25,2,0
20230710,12,25,2,0
20230711,23,20,2,0
20230713,10,28,0,0
20230714,13,25,1,0
20230715,11,22,1,0
20230716,17,23,1,0
20230718,13,23,2,0
20230719,11,22,0,0
20230720,23,29,2,0
20230721,15,22,2,0
20230722,15,22,1,0
20230723,19,23,2,0
20230725,13,26,1,0
20230726,15,23,0,0
20230728,22,28,1,0
20230730,24,20,0,0
20230731,11,27,1,0
20230801,19,26,2,0
20230802,21,21,2,0
20230803,11,27,0,0
20230804,19,20,0,0
20230805,23,28,0,0
20230806,13,28,1,0
20230807,23,21,1,0
20230808,24,26,0,0
20230809,24,29,2,0
20230810,17,22,1,0
20230811,23,26,1,0
20230812,16,29,1,0
20230813,21,28,0,0
20230814,18,23,0,0
20230815,23,20,0,0
20230816,17,21,0,0
20230817,14,20,0,0
20230818,22,24,2,0
20230819,11,24,2,0
20230820,24,26,0,0
20230821,14,28,1,0
20230822,17,28,0,0
20230823,19,22,2,0
20230824,18,22,2,0
20230825,21,22,1,0
20230826,21,23,2,0
20230827,21,27,0,0
20230828,22,25,1,0
20230829,18,27,0,0
20230830,22,20,0,0
20230901,24,27,1,0
20230902,22,23,0,0
20230903,10,20,2,0
20230904,18,27,0,0
20230905,16,23,1,0
20230907,18,25,1,0
20230908,17,27,1,0
20230909,10,23,0,0
20230910,21,22,1,0
20230911,17,28,1,0
20230912,17,22,0,0
20230913,24,28,2,0
20230914,20,21,0,0
20230915,12,21,1,0
20230916,10,21,1,0
20230917,17,25,0,0
20230919,12,22,2,0
20230920,12,28,1,0
20230921,10,23,1,0
20230922,20,20,1,0
20230923,14,23,0,0
20230924,19,20,1,0
20230925,16,24,2,0
20230926,19,23,1,0
20230927,18,27,1,0
20230928,21,27,2,0
20230929,16,26,1,0
20230930,18,22,0,0
20231001,17,20,0,0
20231002,21,20,0,0
20231003,11,22,2,0
20231004,10,25,1,0
20231005,16,26,0,0
20231006,16,25,2,0
20231007,23,25,1,0
20231008,17,25,2,0
20231009,14,22,0,0
20231011,12,25,0,0
20231012,21,27,0,0
20231013,17,21,2,0
20231014,15,24,2,0
20231015,20,20,0,0
20231016,12,20,2,0
20231018,10,24,0,0
20231019,12,22,0,0
20231020,14,23,1,0
20231021,24,22,2,0
20231022,23,20,0,0
20231023,12,20,0,0
20231024,10,24,2,0
20231025,14,25,1,0
20231026,19,22,1,0
20231027,16,28,0,0
20231028,24,24,2,0
20231029,23,27,1,0
20231030,16,20,2,0
20231031,20,24,2,0
